Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),Location,Month,Day,DayOfWeek,Season,Dispersion,AQI,AQI_Category
01-13-2025,68.01,118.83,35.15,2.5,0.69,19.92,24.67,62.37,1.44,156.33,Mira-Bhayandar,1,13,0,Winter,35.5248,125.0,Moderate
01-13-2025,55.01,100.77,28.65,8.18,0.69,58.33,26.95,85.3,1.13,118.21,Virar,1,13,0,Winter,30.4535,92.0,Satisfactory
01-13-2025,58.61,151.59,42.52,5.99,0.74,57.15,28.3,55.07,1.52,243.07,Belapur,1,13,0,Winter,43.016,135.0,Moderate
01-13-2025,63.07,92.84,5.37,5.85,0.57,16.91,19.79,68.58,1.91,213.64,Dhule,1,13,0,Winter,37.7989,108.0,Moderate
01-13-2025,48.11,122.45,22.51,11.47,0.43,45.21,25.89,51.1,1.45,85.01,Bhiwandi,1,13,0,Winter,37.5405,115.0,Moderate
01-13-2025,73.72,160.39,30.19,9.95,0.94,40.89,26.61,90.16,0.92,153.57,Mahad,1,13,0,Winter,24.4812,144.0,Moderate
01-13-2025,37.91,144.02,26.25,9.54,0.49,67.72,25.54,55.88,0.86,135.63,Thane,1,13,0,Winter,21.9644,130.0,Moderate
01-13-2025,52.6,146.21,35.15,10.16,0.92,31.01,33.68,69.03,0.61,110.93,Badlapur,1,13,0,Winter,20.5448,131.0,Moderate
01-13-2025,49.93,132.2,5.41,4.51,0.18,15.6,26.5,67.45,0.81,167.09,Kalyan,1,13,0,Winter,21.465,122.0,Moderate
01-13-2025,22.49,89.38,8.82,4.11,0.73,41.46,28.52,47.3,0.92,96.3,Boisar,1,13,0,Winter,26.2384,89.0,Satisfactory
01-13-2025,65.4,134.8,6.48,16.13,0.32,35.7,20.68,51.33,0.55,108.68,Malegaon,1,13,0,Winter,11.374,123.0,Moderate
01-13-2025,40.04,104.12,18.61,8.79,0.55,59.37,26.1,61.02,0.63,89.58,Parbhani,1,13,0,Winter,16.443,103.0,Moderate
01-13-2025,74.04,160.23,11.55,8.32,1.1,57.01,23.43,55.94,0.58,102.35,Nashik,1,13,0,Winter,13.5894,146.0,Moderate
01-13-2025,72.12,125.25,19.48,4.21,0.45,39.99,22.6,65.2,0.29,220.09,Aurangabad,1,13,0,Winter,6.554,139.0,Moderate
01-13-2025,80.28,184.47,30.61,24.41,0.35,40.6,22.72,54.45,0.8,233.18,Chandrapur,1,13,0,Winter,18.176,167.0,Moderate
01-13-2025,58.39,97.64,15.08,0.91,0.34,37.08,23.37,51.23,0.61,143.12,Jalna,1,13,0,Winter,14.2557,98.0,Satisfactory
